Feature,Importance
others_cr,0.0346328755391689
CloseUSD,0.031323909966769634
trend_ichimoku_base,0.00011372753702300087
trend_ichimoku_conv,0.0001104325906333338
trend_ichimoku_b,5.679802262360245e-05
momentum_kama,3.9503860503076696e-05
MA_5,3.5351874729491234e-05
volatility_bbl,3.45633919277365e-05
MA_50,3.229035778716273e-05
volatility_dch,2.9389385396276883e-05
trend_ema_slow,2.8211134803041527e-05
volatility_dcl,2.726027343808466e-05
trend_sma_slow,2.429511887549248e-05
trend_ichimoku_a,2.342135860986254e-05
trend_psar_up,1.528121539077804e-05
